store_name,address,zip,new_status,median_income
aldi,4934 s kedzie ave,60632,OPEN,64809.0
aldi,13085 s ashland ave,60827,OPEN,37217.0
jewel - osco,6014 s cottage grove,60637,OPEN,43609.0
rio valley market,3307 w 63rd st,60629,OPEN,60826.0
jewel - osco,7342 w foster ave ste 1,60656,OPEN,95766.0
save a lot,10700 s halsed st,60628,OPEN,54644.0
jewel - osco,3570 n elston ave,60618,OPEN,106384.0
carniceria jimenez,3850 w north ave,60647,OPEN,107060.0
food market la chicquita,2637 s pulaski road,60623,OPEN,51878.0
carniceria jimenez,5330 w belmont ave,60641,OPEN,83758.0
whole foods market,30 w huron st,60654,OPEN,147357.0
jewel - osco,3644 s archer ave,60609,OPEN,58896.0
aldi,1836 n clybourn ave,60614,OPEN,136448.0
jewel - osco,1220 s ashland ave,60608,OPEN,73366.0
aldi,4501 s pulaski rd,60632,OPEN,64809.0
aldi,5501 s harlem ave,60638,OPEN,91070.0
fresh thyme farmers market,2500 n elston ave,60647,OPEN,107060.0
big apple finer foods,2345 n clark st,60614,OPEN,136448.0
centro fresh market,4804 w diversey ave,60639,OPEN,61089.0
save a lot,2858 e 83rd st,60617,OPEN,51778.0
mariano's lakeshore east,333 e benton pl,60601,OPEN,121458.0
aldi,8333 s cicero ave,60652,OPEN,80020.0
montrose food mart & deli,6601 w irving park rd,60634,OPEN,88533.0
jewel - osco,3531 n broadway st,60657,OPEN,110939.0
fat lee supermarket,2707 s wells st,60616,OPEN,73819.0
aldi,6220 n california ave,60659,OPEN,68704.0
fair share finer foods,6422 w 63rd street,60638,OPEN,91070.0
avenue food mart,6850 w belmont ave,60634,OPEN,88533.0
lindo michoacan,3142 w lawrence  ave,60625,OPEN,85703.0
